"Incid_Type","BurnBndAc"
"Wildfire",7.14361760270412
"Wildfire",6.95463886488099
"Wildfire",8.21500643276157
"Wildfire",7.28756064030972
"Wildfire",7.01211529430638
"Wildfire",6.7286286130847
"Prescribed Fire",6.39526159811545
"Wildfire",8.01334318138667
"Wildfire",6.41345895716736
"Wildfire",7.43425738213314
"Wildfire",6.80350525760834
"Wildfire",6.35437004079735
"Wildfire",8.05801080080209
"Wildfire",9.29807648628027
"Wildfire",7.80710329012598
"Unknown",7.0647590277918
"Unknown",7.12044437239249
"Wildfire",7.74975340627444
"Wildfire",7.25063551189868
"Unknown",6.92165818415113
"Wildfire",8.80881748310064
"Wildfire",7.0352685992811
"Wildfire",7.01929665371504
"Prescribed Fire",7.48268182815465
"Wildfire",7.80057265467065
"Wildfire",8.1758290087146
"Wildfire",7.51697722460432
"Wildfire",7.36833968631138
"Wildfire",7.06561336359772
"Wildfire",7.63482067774554
"Wildfire",8.62407255304333
"Wildfire",7.59890045687141
"Wildfire",9.7225050987434
"Wildfire",8.32603268595508
"Wildfire",9.4012086347386
"Unknown",7.61874237767041
"Wildfire",9.23434982443653
"Wildfire",7.54802896993501
"Unknown",8.15765701519647
"Wildfire",10.5209139225559
"Wildfire",8.06117135969092
"Unknown",6.54534966033442
"Wildfire",7.13886699994552
"Wildfire",7.23273313617761
"Wildfire",7.0475172213573
"Wildfire",7.59588991771854
"Wildfire",9.10886120302633
"Wildfire",7.58273848891441
"Wildfire",7.13727843726039
"Wildfire",7.61035761831284
"Wildfire",7.22475340576797
"Wildfire",7.20785987143248
"Unknown",7.62705741701893
"Unknown",7.55485852104068
"Unknown",6.96508034560141
"Prescribed Fire",6.94215670569947
"Wildfire",7.24351297466548
"Wildfire",7.92153563213355
"Unknown",8.78859343129374
"Wildfire",7.30451594646016
"Wildfire",8.48404997282298
"Wildfire",7.80913539812054
"Wildfire",8.57885257180297
"Unknown",7.23128700432762
"Unknown",6.71295620067707
"Wildfire",8.34260168068419
"Wildfire",7.69621263934641
"Wildfire",7.48155570190952
"Wildfire",8.81328976246904
"Wildfire",8.28349412616251
"Wildfire",8.33495163142245
"Wildfire",7.25629723969068
"Wildfire",7.81923445385907
"Wildfire",8.8408696240914
"Wildfire",9.2140335438138
"Wildfire",9.74038021466598
"Unknown",10.0485398242353
"Unknown",8.01301211036892
"Unknown",9.25148231530736
"Unknown",7.10578612948127
"Unknown",7.11069612297883
"Wildfire",7.07834157955767
"Wildfire",7.39141523467536
"Unknown",7.33888813383888
"Unknown",7.37525577800975
"Unknown",8.62837672037685
"Wildfire",7.4318919168078
"Wildfire",8.70151275087287
"Wildfire",9.045347797304
"Wildfire",8.05706068196577
"Wildfire",8.31898612539206
"Wildfire",8.06495089174914
"Wildfire",7.11558212618445
"Wildfire",8.28878581042693
"Wildfire",8.7465573545435
"Wildfire",9.40153907670774
"Unknown",7.89058253465654
"Wildfire",9.97497065415799
"Wildfire",8.39231000926955
"Wildfire",10.2873203605172
"Wildfire",7.2991214627108
"Unknown",7.19668657083435
"Wildfire",10.0514333072844
"Wildfire",7.75319426988434
"Wildfire",9.13873695311649
"Wildfire",9.19502366786429
"Wildfire",8.36915711258883
"Wildfire",7.43248380791712
"Wildfire",8.45638105201948
"Wildfire",8.32748441618826
"Wildfire",8.82585367025321
"Wildfire",7.39449310721904
"Unknown",7.00215595440362
"Wildfire",7.96137020171951
"Wildfire",7.19368581839511
"Wildfire",8.92917038313962
"Wildfire",9.73103711553744
"Wildfire",7.48211892355212
"Wildfire",6.90875477931522
"Wildfire",6.92362862813843
"Wildfire",8.37262974022488
"Wildfire",7.38709023565676
"Wildfire",7.71110125184016
"Wildfire",8.19478163844336
"Wildfire",8.02027047281924
"Unknown",8.10228362448007
"Wildfire",7.24779258176785
"Unknown",7.61726781362835
"Wildfire",7.69530313496357
"Wildfire",8.39547743273214
"Wildfire",8.72972059026726
"Wildfire",9.73483218650599
"Wildfire",8.87038206607014
"Wildfire",8.57960445153763
"Wildfire",7.03174125876313
"Wildfire",9.09627541568821
"Wildfire",7.21007962817079
"Wildfire",8.4071550862073
"Wildfire",7.52671756135271
"Wildfire",8.38845031552351
"Wildfire",7.07326971745971
"Wildfire",7.49831587076698
"Wildfire",8.06557942728209
"Wildfire",6.96602418710611
"Wildfire",7.45818615734049
"Wildfire",9.05111014640562
"Wildfire",7.7332456465298
"Wildfire",9.37449795814247
"Wildfire",10.4741845733395
"Wildfire",7.01481435127554
"Wildfire",8.99205997632796
"Wildfire",9.17957183830455
"Wildfire",7.58933582317062
"Wildfire",7.84345640437612
"Wildfire",8.90544431878971
"Wildfire",9.98216009118743
"Wildfire",10.7321485344493
"Wildfire",9.27481639116055
"Wildfire",7.59739632021279
"Unknown",7.4770384723197
"Wildfire",9.18296917518005
"Wildfire",7.8458075026378
"Wildfire",11.7192402028175
"Wildfire",7.62657020629066
"Wildfire",8.20467182895081
"Wildfire",7.70706265537047
"Wildfire",8.01466637046494
"Wildfire",7.48941208350872
"Wildfire",7.44483327389219
"Wildfire",9.48135938353142
"Wildfire",7.14440718032114
"Wildfire",8.58279364850019
"Wildfire",7.13169851046691
"Prescribed Fire",7.06561336359772
"Wildfire",8.21066803116298
"Wildfire",8.70101362433393
"Wildfire",9.37373391888462
"Wildfire",7.35627987655075
"Wildfire",7.09090982207998
"Unknown",8.68676717538769
"Wildfire",7.02286808608264
"Wildfire",7.96137020171951
"Wildfire",8.1318247850072
"Wildfire",7.55066124310534
"Wildfire",7.01481435127554
"Wildfire",11.9689442606909
"Wildfire",7.05272104923232
"Wildfire",7.37588214821501
"Wildfire",7.30720231476474
"Wildfire",8.94324493313279
"Wildfire",7.88870952418201
"Wildfire",8.08794755464267
"Wildfire",10.209574216664
"Wildfire",6.96129604591017
"Unknown",7.5522372875608
"Prescribed Fire",7.60339933974067
"Wildfire",8.00202481821611
"Wildfire",7.7066129139642
"Wildfire",10.5579718643187
"Wildfire",8.01201823915906
"Wildfire",8.55871893824474
"Wildfire",8.49084921607663
"Wildfire",7.89766815072691
"Wildfire",8.03040956213048
"Wildfire",8.0774471493312
"Wildfire",8.1371033896393
"Wildfire",7.9355873855892
"Unknown",8.14554963178358
"Unknown",6.96129604591017
"Unknown",6.80682936039218
"Unknown",7.03966034986208
"Wildfire",7.95402108727804
"Prescribed Fire",7.48155570190952
"Wildfire",8.35490952835879
"Wildfire",8.1934002319521
"Wildfire",8.58634605010455
"Wildfire",8.09346227450118
"Prescribed Fire",7.78945456608667
"Unknown",7.45356187164337
"Wildfire",7.17472430983638
"Unknown",7.16006920759613
"Wildfire",8.70764824810691
"Wildfire",8.0166478770578
"Wildfire",7.29301767977278
"Prescribed Fire",7.952615111651
"Unknown",7.47929963778283
"Wildfire",6.41017488196617
"Unknown",6.63200177739563
"Unknown",7.62021477057445
"Unknown",8.95738173558279
"Wildfire",7.0184017990692
"Unknown",7.70526247486633
"Unknown",7.41034709782102
"Unknown",8.20930841164694
"Prescribed Fire",7.81762544305337
"Prescribed Fire",7.94555542825349
"Prescribed Fire",7.5207764150628
"Unknown",7.57301725605255
"Unknown",7.32118855673948
"Unknown",7.40245152081824
"Unknown",6.81124437860129
"Unknown",7.15226885603254
"Unknown",6.88857245956536
"Unknown",7.09837563859079
"Unknown",6.78671695060508
"Wildfire",7.39326309476384
"Unknown",9.79629202093257
"Unknown",8.44052810648075
"Wildfire",7.58171964012531
"Wildfire",6.97260625130175
"Unknown",6.7428806357919
"Unknown",8.10500553754725
"Unknown",7.09423484592476
"Unknown",6.83195356556585
"Unknown",7.16703787691222
"Unknown",6.3818160174061
"Unknown",7.09257371597468
"Unknown",6.64639051484773
"Unknown",7.26752542782817
"Unknown",6.3919171133926
"Wildfire",6.7900972355139
"Wildfire",8.2537483433285
"Unknown",7.21081845347222
"Unknown",6.59304453414244
"Unknown",7.36833968631138
"Unknown",6.81014245011514
"Unknown",7.83991936001258
"Unknown",7.39203156751459
"Unknown",6.23244801655052
"Unknown",6.4831073514572
"Unknown",7.74889133725553
"Unknown",6.93925394604151
"Unknown",6.51025834052315
"Unknown",6.61740297797448
"Unknown",7.07918439460967
"Unknown",6.2841341610708
"Unknown",6.88346258641309
"Unknown",8.04910772132641
"Unknown",7.86249719723055
"Unknown",6.81454289725996
"Unknown",8.38251828808963
"Unknown",6.98841318199959
"Unknown",6.99117688712121
"Unknown",7.3132203870903
"Unknown",8.17413934342947
"Unknown",6.7428806357919
"Unknown",7.13409372119287
"Unknown",6.64639051484773
"Unknown",6.3818160174061
"Unknown",7.17472430983638
"Wildfire",6.39859493453521
"Wildfire",7.65302041380419
"Wildfire",10.4636174939863
"Unknown",6.54678541076052
"Unknown",7.15851399732932
"Unknown",6.99942246750796
"Unknown",7.0343879299155
"Unknown",7.01571242048723
"Unknown",7.54591815120932
"Prescribed Fire",7.33236920592906
"Wildfire",6.47389069635227
"Wildfire",7.35372233039963
"Wildfire",6.63987583382654
"Wildfire",6.68210859744981
"Wildfire",6.43615036836943
"Wildfire",7.09423484592476
"Wildfire",6.23441072571837
"Wildfire",7.15773548424991
"Wildfire",6.47389069635227
"Unknown",7.22548147278229
"Unknown",7.07834157955767
"Unknown",8.45276133125685
"Unknown",7.78821155784708
"Unknown",6.74405918631135
"Unknown",6.94408720822953
"Unknown",6.2841341610708
"Unknown",6.51471269087253
"Unknown",7.3375877435386
"Unknown",6.5792512120101
"Unknown",8.12415060330663
"Unknown",6.4281052726846
"Unknown",6.3456363608286
"Unknown",6.96318998587024
"Unknown",6.43133108193348
"Unknown",6.31896811374643
"Unknown",6.70073110954781
"Unknown",6.27664348934164
"Unknown",7.94944442025063
"Unknown",7.11558212618445
"Unknown",7.55276208421415
"Unknown",6.81014245011514
"Unknown",6.7202201551353
"Unknown",7.0825485693553
"Unknown",8.40626163070896
"Unknown",7.58882987830781
"Unknown",6.880384082186
"Unknown",6.94889722231331
"Unknown",6.70563909486
"Unknown",7.45356187164337
"Unknown",6.40025744530882
"Unknown",7.37086016653672
"Unknown",6.80350525760834
"Unknown",6.2803958389602
"Unknown",7.25488481007734
"Unknown",6.50279004591562
"Unknown",6.46302945692067
"Unknown",6.41999492814714
"Unknown",6.45204895443723
"Unknown",7.04141166379481
"Unknown",7.33236920592906
"Unknown",7.40610338123702
"Unknown",7.03085747611612
"Unknown",7.71020519443253
"Unknown",6.78219205600679
"Unknown",7.79523492900217
"Unknown",6.83947643822884
"Unknown",6.55961523749324
